,@device,@rdgType,value,type,captured_at
310,Window,HUMIDITY,60.89,LIGHT+ENV,2021-09-02 13:18:05
311,Window,HUMIDITY,61.34,LIGHT+ENV,2021-09-02 13:20:03
312,Window,LUX,9542.0,LIGHT+ENV,2021-09-02 13:20:03
313,Window,PRESSURE,100536.0,LIGHT+ENV,2021-09-02 13:20:03
314,Window,TEMPERATURE,22.28,LIGHT+ENV,2021-09-02 13:20:03
318,Window,TEMPERATURE,22.3,LIGHT+ENV,2021-09-02 13:22:01
317,Window,HUMIDITY,60.38,LIGHT+ENV,2021-09-02 13:22:01
316,Window,LUX,9423.0,LIGHT+ENV,2021-09-02 13:22:01
315,Window,PRESSURE,100539.0,LIGHT+ENV,2021-09-02 13:22:01
319,Window,HUMIDITY,60.17,LIGHT+ENV,2021-09-02 13:24:00
320,Window,PRESSURE,100544.0,LIGHT+ENV,2021-09-02 13:24:00
321,Window,TEMPERATURE,22.42,LIGHT+ENV,2021-09-02 13:24:00
322,Window,LUX,12619.0,LIGHT+ENV,2021-09-02 13:24:00
323,Window,HUMIDITY,59.52,LIGHT+ENV,2021-09-02 13:25:04
324,Window,TEMPERATURE,22.59,LIGHT+ENV,2021-09-02 13:25:04
325,Window,LUX,18849.0,LIGHT+ENV,2021-09-02 13:25:04
326,Window,PRESSURE,100546.0,LIGHT+ENV,2021-09-02 13:25:04
330,Window,TEMPERATURE,22.78,LIGHT+ENV,2021-09-02 13:27:03
329,Window,LUX,21221.0,LIGHT+ENV,2021-09-02 13:27:03
327,Window,PRESSURE,100548.0,LIGHT+ENV,2021-09-02 13:27:03
328,Window,HUMIDITY,59.02,LIGHT+ENV,2021-09-02 13:27:03
331,Window,LUX,18197.0,LIGHT+ENV,2021-09-02 13:29:01
332,Window,TEMPERATURE,22.96,LIGHT+ENV,2021-09-02 13:29:01
333,Window,HUMIDITY,58.9,LIGHT+ENV,2021-09-02 13:29:01
334,Window,PRESSURE,100550.0,LIGHT+ENV,2021-09-02 13:29:01
335,Window,TEMPERATURE,23.12,LIGHT+ENV,2021-09-02 13:30:05
336,Window,LUX,7782.0,LIGHT+ENV,2021-09-02 13:30:05
337,Window,PRESSURE,100551.0,LIGHT+ENV,2021-09-02 13:30:05
338,Window,HUMIDITY,58.96,LIGHT+ENV,2021-09-02 13:30:05
342,Window,PRESSURE,100552.0,LIGHT+ENV,2021-09-02 13:32:05
341,Window,LUX,7342.0,LIGHT+ENV,2021-09-02 13:32:05
339,Window,TEMPERATURE,23.25,LIGHT+ENV,2021-09-02 13:32:05
340,Window,HUMIDITY,59.35,LIGHT+ENV,2021-09-02 13:32:05
343,Window,LUX,6338.0,LIGHT+ENV,2021-09-02 13:34:04
344,Window,HUMIDITY,59.58,LIGHT+ENV,2021-09-02 13:34:04
345,Window,PRESSURE,100553.0,LIGHT+ENV,2021-09-02 13:34:04
346,Window,TEMPERATURE,23.37,LIGHT+ENV,2021-09-02 13:34:04
347,Window,HUMIDITY,59.74,LIGHT+ENV,2021-09-02 13:36:02
348,Window,TEMPERATURE,23.46,LIGHT+ENV,2021-09-02 13:36:02
349,Window,LUX,6229.0,LIGHT+ENV,2021-09-02 13:36:02
350,Window,PRESSURE,100553.0,LIGHT+ENV,2021-09-02 13:36:02
354,Window,LUX,6503.0,LIGHT+ENV,2021-09-02 13:38:00
